N,method,price,rel_error,time,true_price
100.0,MC,107.91722092472128,0.010253513896790231,0.0004222393035888672,109.03521501713902
100.0,QMC,107.58500256504475,0.013300404386475702,0.0006499290466308594,109.03521501713902
500.0,MC,107.73536232686385,0.0119214025493585,3.600120544433594e-05,109.03521501713902
500.0,QMC,108.96361609081998,0.0006566587345912636,0.0003070831298828125,109.03521501713902
1000.0,MC,108.65369137022034,0.0034990864819105377,5.1021575927734375e-05,109.03521501713902
1000.0,QMC,108.67818615038688,0.003274436306619147,0.0002827644348144531,109.03521501713902
5000.0,MC,107.55110391575761,0.013611300726541707,0.00020503997802734375,109.03521501713902
5000.0,QMC,109.13541069537261,0.00091892952398764,0.0004436969757080078,109.03521501713902
10000.0,MC,108.58020177282772,0.004173085220584747,0.0003478527069091797,109.03521501713902
10000.0,QMC,109.00369888479361,0.00028904544591820474,0.0006520748138427734,109.03521501713902
20000.0,MC,109.86584005088487,0.007617951994823712,0.0007250308990478516,109.03521501713902
20000.0,QMC,109.0323334475459,2.6427880136482754e-05,0.0011546611785888672,109.03521501713902
50.0,explicit,53.25542709583484,0.511575896947938,0.00046706199645996094,109.03521501713902
100.0,explicit,52.93575615286893,0.5145077107010971,0.00057220458984375,109.03521501713902
200.0,explicit,53.0928225134939,0.5130672003063566,0.0034949779510498047,109.03521501713902
400.0,explicit,53.093444302763,0.5130614976600234,0.030301332473754883,109.03521501713902
50.0,implicit,53.23182810814365,0.5117923314978904,0.0011508464813232422,109.03521501713902
100.0,implicit,53.20350981931078,0.5120520484052071,0.005630970001220703,109.03521501713902
200.0,implicit,53.1903831736089,0.512172437452909,0.0349879264831543,109.03521501713902
400.0,implicit,53.14297851852698,0.51260720208445,0.3265409469604492,109.03521501713902
50.0,CN,52.79833854014785,0.5157680155732385,0.0012578964233398438,109.03521501713902
100.0,CN,52.980576733182886,0.5140966455208532,0.0058939456939697266,109.03521501713902
200.0,CN,53.07790864724265,0.5132039805772892,0.043884992599487305,109.03521501713902
400.0,CN,53.086610869755994,0.5131241694583588,0.3828461170196533,109.03521501713902
,ML surrogate,106.47990417480469,0.023435647299202115,6.288879156112671,109.03521501713902
